,name,Name_Matched
142,Roberto Avogadro,Q116017515
150,Manos Paterakis,Q111291707
151,Dimitris G Angelakis,Q83117105
160,Toby Burrows,Q30131576
161,Lynn Ransom,Q109288801
162,Hanno Wijsman,Q63922639
164,Eleni Ilkou,Q100695303
166,Rajat Koner,Q106576417
168,Deepan Das,Q96067037
171,Lavdim Halilaj,Q118817093
175,Pavan Kapanipathi,Q102756520
179,Vũ Bình,Q63958959
184,Huang Jingyue,Q45390845
0,Irene Celino,Q57302902
2,Michael Cochez,Q49146387
5,Mauro Dragoni,Q57302225
6,Jérôme Euzenat,Q67651343
7,Aldo Gangemi,Q30103138
8,Chiara Ghidini,Q57301840
10,Olaf Hartig,Q30103409
14,Sabrina Kirrane,Q30103188
15,Markus Luczak-Roesch,Q42406562
17,Gabriela Montoya,Q54856764
18,Boris Motik,Q64851991
19,Maria Magdalena Ortiz,Q98613866
20,Francesco Osborne,Q61665725
22,Marta Sabou,Q57063455
24,Hala Skaf-Molli,Q95981554
27,Serena Villata,Q58309362
28,Domagoj Vrgoc,Q102426954
29,Kewen Wang,Q62048928
30,Zhao Yizheng,Q65862223
31,Shqiponja Ahmetaj,Q103376976
33,Harith Alani,Q48564469
36,João Paulo Almeida,Q102409172
38,Hiba Arnaout,Q106864266
39,Luigi Asprino,Q97066487
40,Amr Azzam,Q120967019
43,Payam Barnaghi,Q57054169
44,Pierpaolo Basile,Q59150854
45,Russa Biswas,Q54805661
47,Eva Blomqvist,Q27942628
48,Carlos Bobed,Q59926080
49,Alexander Tiberiu Borgida,Q102112733
50,Paolo Bouquet,Q57302372
52,Janez Brank,Q114323211
54,Davide Buscaldi,Q61990484
55,Jean-Paul Calbimonte,Q57199764
57,Antonella Carbonaro,Q101471751
58,Valentina Anita Carriero,Q95114811
60,Victor Charpenay,Q61093889
61,Vinay K Chaudhri,Q103368523
64,Cheng Sijin,Q45601974
65,Philipp Cimiano,Q59403940
66,Andrei Ciortea,Q109608042
69,Victor de Boer,Q103357901
70,Daniele Dell'Aglio,Q57225906
71,Danilo Dessì,Q61136578
72,Stefan Dietze,Q106591781
74,Shusaku Egami,Q91149952
75,Fajar J. Ekaputra,Q57303205
76,Paola Espinoza-Arias,Q60627064
77,David Eyers,Q115736166
79,Michael Färber,Q57231890
80,Daniel Faria,Q55143368
82,Catherine Faron-Zucker,Q64418456
83,Javier D. Fernández,Q58049501
86,Valeria Fionda,Q101230668
92,Fabien Gandon,Q23014205
95,Pouya Ghiasnezhad Omran,Q114044348
98,Rafael S Gonçalves,Q88654416
99,Jorge Gracia del Río,Q61663682
100,Dagmar Gromann,Q54805107
101,Paul Groth,Q21678689
103,Kalpa Gunaratna,Q103336071
104,Claudio Gutiérrez,Q58049573
106,Tom Hanika,Q103341896
107,Andreas Harth,Q51283156
109,Oktie Hassanzadeh,Q56447859
111,Rinke Hoekstra,Q30103399
112,Andreas Hotho,Q64728358
115,François Houang,Q3084865
117,Ryutaro Ichise,Q120485952
119,Valentina Ivanova,Q82835618
120,Prateek Jain,Q102552067
121,Mustafa Jarrar,Q59564385
122,Tobias Käfer,Q113636042
123,Lucie-Aimée Kaffee,Q37860261
125,Maulik R. Kamdar,Q59748965
126,Takahiro Kawamura,Q91149950
127,C. Maria Keet,Q108817971
129,Ilkcan Keles,Q63973229
133,Elmar Kiesling,Q61040898
135,Haridemos Kondylakis,Q56567493
137,Roman Kontchakov,Q60666572
139,Adila Alfa Krisnadhi,Q63346808
140,Markus Krötzsch,Q18618630
141,Benno Kruit,Q108171035
142,José Emilio Labra Gayo,Q51602692
143,Andre Lamurias,Q47098084
145,Danh Le Phuoc,Q57054162
147,Huanyu Li,Q59704914
150,Carsten Lutz,Q57517628
154,Pierre Monnin,Q93183876
155,Deshendran Moodley,Q57658335
156,Varish Mulwad,Q102429134
158,Raghava Mutharaju,Q102552081
160,Shinichi Nagano,Q21700982
165,Werner Nutt,Q51903108
166,Andrea Giovanni Nuzzolese,Q56459533
167,Julian A Padget,Q58621441
168,Ankur Sukhalal Padia,Q103285816
169,Peter F. Patel-Schneider,Q37680335
170,Evan Patton,Q102464282
174,Alina Petrova,Q30092789
175,Francesco Piccialli,Q57420823
176,H.Sofia Pinto,Q57414365
177,Giuseppe Pirrò,Q57062249
178,Alessandro Piscopo,Q37798781
179,Dimitris Plexousakis,Q102143436
180,Axel Polleres,Q54860587
182,Yuzhong Qu,Q96026690
183,Alexandre Rademaker,Q57305632
186,Martín Rezk,Q102932978
188,Giuseppe Rizzo,Q54805337
190,Dumitru Roman,Q113381916
191,Oscar Romero,Q64361071
194,Marco Rospocher,Q102485088
199,Tomer Sagi,Q110699727
200,Satya S. Sahoo,Q64822040
201,Angelo Salatino,Q58225772
202,Muhammad Saleem,Q113451134
204,François Scharffe,Q79033237
206,Ralf Schenkel,Q57962437
207,Juan Sequeda,Q57225833
209,Kuldeep Singh,Q105084889
210,Nadine Steinmetz,Q102426572
211,Armando Stellato,Q59505759
212,Gerd Stumme,Q60176247
213,Mari Carmen Suárez Figueroa,Q79088776
218,Kerry Taylor,Q108730193
219,Andreas Thalhammer,Q51283137
220,Krishnaprasad Thirunarayan,Q60321811
221,Steffen Thoma,Q51283127
222,Ilaria Tiddi,Q111254401
223,David Toman,Q102249828
224,Riccardo Tommasini,Q92962079
225,Raphaël Troncy,Q50290708
227,Guillermo Vega-Gorgojo,Q58861499
238,Xander Wilcke,Q57560230
239,Honghan Wu,Q57142628
241,Ikuya Yamada,Q108673552
243,Fouad Zablith,Q56460322
248,Antoine Isaac,Q61093891
251,María-Esther Vidal,Q25612477
256,Oleksandra Bruns,Q113291449
263,Elvira Amador-Domínguez,Q90240489
264,Pablo Fillottrani,Q62583540
266,Tudor Groza,Q44818847
270,Clement Jonquet,Q46457352
274,Tomáš Kliegr,Q109321460
275,Jakub Klímek,Q57585169
278,Allyson L Lister,Q41050709
279,Zola Mahlaza,Q122235221
284,Lionel Médini,Q124730660
287,Alessandro Mosca,Q58315312
288,Ebrahim Norouzi,Q118232637
292,Catherine Roussey,Q57226355
295,Umutcan Serles,Q57762577
300,Walter Terkaj,Q59705062
301,Tabea Tietz,Q63973304
305,Wu Tianxing,Q45619440
308,Ningyu Zhang,Q55174590
311,Maria Bermudez-Edo,Q89696710
312,Stefan Bischof,Q58043789
316,Christophe Debruyne,Q58043647
317,Jose Manuel Gomez-Perez,Q54804927
318,Damien Graux,Q101130110
319,Daniel Gruhlke,Q102424089
321,Nicolas Heist,Q118868159
323,Tomi Kauppinen,Q59313781
328,Michael Luggen,Q100465120
330,Beatrice Markhoff,Q123496063
332,Declan O'Sullivan,Q97541358
334,Artem Revenko,Q102435584
336,Dezhao Song,Q56739323
339,Matthäus Zloch,Q113450269
1,Giorgia Lodi,Q97061893
2,Aliaksandr Birukou,Q55685947
3,HyeongSik Kim,Q108416433
5,Natanael Arndt,Q91224415
6,Ben De Meester,Q120485723
7,Beat Signer,Q56928983
10,Yannis Tzitzikas,Q57226485
11,Piero A. Bonatti,Q58049630
14,Aidan Hogan,Q51366847
16,Sebastian Hellmann,Q39429171
22,Ian R. Horrocks,Q5981834
39,Anastasia Dimou,Q57418715
41,Sebastian Rudolph,Q51283439
47,Mantas Šimkus,Q103376986
55,Hendrik Blockeel,Q57445841
56,Guotong Xie,Q97685921
57,Gabriel Amaral,Q114079327
61,Albert Meroño-Peñuela,Q57553187
69,Renzo Angles,Q57235655
73,Ahmed Mohamed Sherif,Q88928008
91,Wang Jiaan,Q45561378
93,Hannes Straß,Q102399046
104,Sola Shirai,Q115057797
106,Carlos Buil Aranda,Q29882153
116,Martin G. Skjæveland,Q117232536
117,Jixiong Liu,Q114775165
119,Yoan Chabot,Q120918268
139,Andon Tchechmedjiev,Q88916448
144,John C.K. Kiang,Q97064588
162,Mojtaba Nayyeri,Q57566173
166,David Abián,Q116626409
168,Odinaldo Rodrigues,Q102291497
179,Dimitris Bilidas,Q117232538
190,Li Yanzong,Q45424477
200,Fabio Lorenzi,Q95908633
203,Haoyu Ren,Q104273718
204,Darko Anicic,Q65013258
209,Sofia Kossida,Q104619922
215,Yanzeng Li,Q91919764
217,Daniel Vollmer,Q95799154
0,Aliaksandr Birukou,Q102501769
1,Sanju Tiwari,Q102389753
2,Pascal Molli,Q95981581
3,Ben De Meester,Q120485723
11,Enrico Motta,Q56460323
12,Diego Reforgiato Recupero,Q59918497
17,Anastasia Dimou,Q57418715
18,Mark A. Musen,Q50286281
19,Peter Haase,Q23831639
21,Dean Rehberger,Q114766488
22,Miguel Ceriani,Q58158567
25,Martin Nečaský,Q57073982
26,Albert Meroño-Peñuela,Q57553187
27,Jacopo de Berardinis,Q124382246
31,Ruben Taelman,Q95951667
34,Jeff Z. Pan,Q59845193
40,Herminio García González,Q124843525
41,Eleni Tsalapati,Q103045699
43,Michael G. Bryant,Q53784225
45,Rossana Damiano,Q103946290
67,Noël de Palma,Q110438006
75,Pierre Maret,Q47536210
90,Zhipeng Tang,Q114416541
92,Huang Ziqi,Q45724096
93,Irlán Grangel-González,Q119096144
95,Yipeng Zhu,Q90236599
96,Feiyue Wu,Q114681329
98,Shenqi Jing,Q96188624
110,David W Archer,Q61093695
112,Ana Iglesias Molina,Q124297035
123,Ilaria Rosati,Q117236874
142,Tong Ruan,Q92760479
1,Aliaksandr Birukou,Q55685947
7,Debayan Banerjee,Q101237046
9,Aidan Hogan,Q51366847
10,Sebastian Hellmann,Q39429171
13,Enrico Motta,Q56460323
15,Petar Ristoski,Q30277602
30,Sahar Vahdati,Q110529950
31,Tobias Kuhn,Q42027946
32,Mark A. Musen,Q50286281
36,Charles Tapley Hoyt,Q47475003
41,Mohammed J. Zaki,Q55458948
42,Ceriel Jacobs,Q4536730
43,Katarina Boland,Q53459970
44,Jamie McCusker,Q57025992
45,Ludovica Marinucci,Q61957653
47,Andreas Ekelhart,Q61040887
54,Xavier Giró-i-Nieto,Q60571594
59,Benjamin Zapilko,Q61095922
61,Kabul Kurniawan,Q106657765
63,Daniel P. Miranker,Q27963818
64,Jeff Z. Pan,Q59845193
66,David Carral,Q102676438
69,Pavlos Fafalios,Q54818689
77,Pasquale Lisena,Q118868261
84,Jacopo Urbani,Q66859471
88,Amarendra Das,Q59747993
90,Aljaž Košmerlj,Q114335396
94,Mohnish Dubey,Q109689375
96,Said Fathalla,Q101476683
98,Joan Espadaler,Q110261381
111,Enrico Daga,Q57303179
120,Maria Letizia Mancinelli,Q116193969
121,Chiara Veninata,Q104099217
132,Karl Hammar,Q72837366
134,Per Karlberg,Q121084502
142,Hugh Glaser,Q102342049
143,Nikolaos Karalis,Q64004103
158,Andon Tchechmedjiev,Q88916448
2,Gerhard Weikum,Q92988
4,Tommaso Soru,Q58335452
5,Tommaso Di Noia,Q54851241
6,Minming Li,Q60889096
7,Eugenio Di Sciascio,Q20007833
11,Ulrike Sattler,Q7879911
12,Ziqi Zhang,Q56447924
13,Cristina Sarasua,Q30092858
23,Arnaud Giacometti,Q103232230
37,Paolo Ciancarini,Q27942629
38,Fabian M. Suchanek,Q41777585
41,Steven Schockaert,Q62053815
44,Terence Payne,Q60777646
46,Simon Gottschalk,Q64569192
47,Gong Cheng,Q96058464
